LIBID	MICROBE_COUNT_UNPAIRED_ANNOTATED	MICROBE_COUNT_UNPAIRED	MICROBE_COUNT_PROPORTION_ANNOTATED	subject	region	subj_region	K2_UNCLASSIFIED	K2_CLASSIFIED	mol_type
MHS350	10914126	13768490	0.7926886681110275	SMT004	Ac	SMT004_Ac	76725	6888000	RNA
MHS351	4005970	5613110	0.7136810074985168	SMT004	Vf	SMT004_Vf	288646	2811715	RNA
MHS355	13919238	16088596	0.8651617580552088	SMT007	Ac	SMT007_Ac	365783	8077468	RNA
MHS357	3804948	7382644	0.5153909629124742	SMT009	Sc	SMT009_Sc	512971	3709746	RNA
MHS358	4842227	6254680	0.7741766165495277	SMT009	Tw	SMT009_Tw	245922	3143501	RNA
MHS360	633677	2504304	0.253035174643334	SMT014	Ac	SMT014_Ac	345264	1428112	RNA
MHS361	1696181	5254420	0.3228103196927539	SMT014	Vf	SMT014_Vf	1052503	2699800	RNA
MHS362	3954947	7329402	0.5396002293229379	SMT024	Ac	SMT024_Ac	404667	3709211	RNA
MHS363	2086361	5014446	0.4160700902951193	SMT024	Vf	SMT024_Vf	444403	2527322	RNA
MHS364	7633366	11244802	0.678835074196949	SMT016	Vf	SMT016_Vf	545012	5636103	RNA
MHS365	1291121	3538080	0.3649213697824809	SMT020	Vf	SMT020_Vf	292347	1778003	RNA
MHS366	4821782	8207592	0.5874782762106109	SMT025	Ac	SMT025_Ac	395952	4128336	RNA
MHS367	5454754	9022572	0.6045675224315196	SMT027	Vf	SMT027_Vf	998221	4539537	RNA
MHS368	5966962	8120304	0.7348200264423598	SMT026	Vf	SMT026_Vf	806373	4071549	RNA
MHS369	8861844	11802812	0.7508248034451451	SMT018	Vf	SMT018_Vf	424728	5914074	RNA
MHS370	5736020	7887458	0.7272330324928513	SMT018	Tw	SMT018_Tw	255972	3966457	RNA
MHS371	12286893	14774300	0.831639603906784	SMT001	Ac	SMT001_Ac	145883	7389416	RNA
MHS372	13979737	15829128	0.8831653266054833	SMT021	Tw	SMT021_Tw	120278	7915970	RNA
MHS373	8624682	11367198	0.7587342104888117	SMT017	Sc	SMT017_Sc	532219	5689103	RNA
MHS374	939162	1164850	0.8062514486843799	SMT013	Ch	SMT013_Ch	345722	711398	RNA
MHS375	2356749	4082960	0.57721579442365345	SMT013	Tw	SMT013_Tw	962009	2051143	RNA
MHS376	6845915	8143422	0.8406680876908995	SMT008	Sc	SMT008_Sc	358842	4078734	RNA
MHS377	12237368	13998582	0.8741862568651596	SMT008	Tw	SMT008_Tw	202250	7001990	RNA
MHS378	10855667	12971220	0.8369040845810957	SMT006	Sc	SMT006_Sc	530491	6490896	RNA
MHS379	12864556	15050614	0.8547529024397277	SMT006	Ch	SMT006_Ch	182905	7529379	RNA
MHS380	7443312	9327450	0.7980007397520222	SMT006	Ac	SMT006_Ac	580351	4670120	RNA
MHS381	5474090	6879892	0.7956651063708559	SMT003	Sc	SMT003_Sc	745312	3455076	RNA
MHS382	2379154	3411606	0.6973706811396158	SMT003	Vf	SMT003_Vf	591385	1713120	RNA
MHS383	6445855	7379784	0.8734476510423611	SMT003	Tw	SMT003_Tw	379210	3695891	RNA
MHS384	17220719	19462100	0.884833548281018	SMT015	Ch	SMT015_Ch	174528	9734960	RNA
MHS385	1862937	2709660	0.6875168840371116	SMT019	Sc	SMT019_Sc	549861	1450091	RNA
MHS386	12261042	13689858	0.8956295967423475	SMT019	Ch	SMT019_Ch	114475	6847210	RNA
MHS387	5947657	7200090	0.8260531465578902	SMT019	Ac	SMT019_Ac	265967	3604460	RNA
MHS388	6206509	7568574	0.8200367731094391	SMT001	Sc	SMT001_Sc	507997	3847719	RNA
MHS389	9933710	11774318	0.8436760413639244	SMT001	Ch	SMT001_Ch	157244	5893162	RNA
MHS390	8919379	10662872	0.8364893623406527	SMT002	Ch	SMT002_Ch	126946	5342799	RNA
MHS391	5531153	7990632	0.6922046966998355	SMT002	Ac	SMT002_Ac	226469	4011779	RNA
MHS392	12940841	15010780	0.8621031685228883	SMT002	Tw	SMT002_Tw	272523	7506888	RNA
MHS393	8515432	10112098	0.8421033894252211	SMT004	Sc	SMT004_Sc	201730	5061357	RNA
MHS394	6591209	7699510	0.8560556450994934	SMT004	Ch	SMT004_Ch	148533	3855184	RNA
MHS396	8007526	10389056	0.770765505547376	SMT005	Ch	SMT005_Ch	630104	5201437	RNA
MHS398	8300769	11331712	0.7325255883665239	SMT007	Sc	SMT007_Sc	573409	5669443	RNA
MHS399	3374289	5408578	0.6238772927005952	SMT027	Sc	SMT027_Sc	781636	2736104	RNA
MHS402	14011715	16537060	0.8472917797964088	SMT026	Tw	SMT026_Tw	246977	8272405	RNA
MHS405	5535797	7539706	0.7342192122610617	SMT022	Ch	SMT022_Ch	334275	3848225	RNA
MHS406	7089678	8272708	0.8569960404742921	SMT021	Sc	SMT021_Sc	550127	4154118	RNA
MHS407	10084181	11607938	0.8687314663465638	SMT015	Sc	SMT015_Sc	278914	5811964	RNA
MHS408	10807591	12760602	0.8469499322994323	SMT015	Ac	SMT015_Ac	106705	6383181	RNA
MHS409	15175446	17085456	0.8882084270972925	SMT015	Tw	SMT015_Tw	125787	8544185	RNA
MHS410	3520046	6798734	0.5177502164373544	SMT019	Tw	SMT019_Tw	1477972	3402594	RNA
MHS411	7180739	8952870	0.8020600098069111	SMT010	Ch	SMT010_Ch	86133	4478810	RNA
MHS412	5207175	6755454	0.7708105184344383	SMT001	Vf	SMT001_Vf	707436	3387583	RNA
MHS413	23660218	27142170	0.8717143102412224	SMT001	Tw	SMT001_Tw	494958	13573541	RNA
MHS414	6035462	7135046	0.845889711152528	SMT023	Sc	SMT023_Sc	446144	3582358	RNA
MHS415	10654635	12418088	0.8579931950876818	SMT023	Ch	SMT023_Ch	154626	6212520	RNA
MHS416	8529919	10072850	0.846822795931638	SMT023	Ac	SMT023_Ac	105660	5038466	RNA
MHS418	2618594	4513656	0.5801492182833605	SMT011	Ch	SMT011_Ch	282129	2388229	RNA
MHS419	6039083	7676674	0.7866796219300182	SMT011	Ac	SMT011_Ac	122563	3847048	RNA
MHS421	5528575	7917354	0.6982856898908398	SMT012	Sc	SMT012_Sc	395702	3980593	RNA
MHS422	5809938	7574826	0.7670061332101886	SMT012	Ch	SMT012_Ch	375690	3809249	RNA
MHS423	6306517	8923470	0.7067337033687567	SMT012	Ac	SMT012_Ac	239768	4473051	RNA
MHS424	8961428	13838998	0.6475489049134916	SMT012	Vf	SMT012_Vf	1132680	6948053	RNA
MHS425	7715506	11222084	0.6875288048102296	SMT012	Tw	SMT012_Tw	98001	5615597	RNA
MHS426	3820627	6964100	0.5486174810815468	SMT014	Sc	SMT014_Sc	309044	3497662	RNA
MHS427	4435698	6167334	0.7192245466193334	SMT014	Ch	SMT014_Ch	122305	3095653	RNA
MHS428	3315916	5654814	0.586388164137671	SMT014	Tw	SMT014_Tw	233032	2844521	RNA
MHS429	5427269	7501520	0.7234892395141251	SMT024	Sc	SMT024_Sc	273261	3757152	RNA
MHS430	4837412	6614054	0.7313838078733558	SMT024	Ch	SMT024_Ch	120431	3329779	RNA
MHS432	8836789	29472928	0.2998273194980831	SMT016	Sc	SMT016_Sc	476519	14742903	RNA
MHS433	5222534	6605334	0.790654038084978	SMT016	Ch	SMT016_Ch	573789	3361288	RNA
MHS434	5302828	7020716	0.7553115665125893	SMT016	Tw	SMT016_Tw	144259	3512972	RNA
MHS435	3720119	4841698	0.7683500705744142	SMT020	Ch	SMT020_Ch	70945	2426399	RNA
MHS436	4741056	6139186	0.772261338881083	SMT020	Tw	SMT020_Tw	201869	3074788	RNA
MHS437	3275178	5404928	0.6059614485151329	SMT025	Sc	SMT025_Sc	215666	2710675	RNA
MHS438	5617407	7019196	0.800292084734491	SMT025	Ch	SMT025_Ch	96607	3514269	RNA
MHS439	6525324	8082990	0.807290866374943	SMT027	Ch	SMT027_Ch	301859	4049941	RNA
MHS440	9409759	11594092	0.8115994766989946	SMT026	Sc	SMT026_Sc	369171	5806042	RNA
MHS441	1925193	2725338	0.7064052238658104	SMT026	Ac	SMT026_Ac	193684	1668030	RNA
MHS442	5349769	6993304	0.7649844765793107	SMT018	Sc	SMT018_Sc	440858	3509766	RNA
MHS443	10470087	12676220	0.8259628659016647	SMT018	Ch	SMT018_Ch	239480	6347896	RNA
MHS593	16751590	23003628	0.7282151319783123	SMT027	Ac	SMT027_Ac	514184	11525145	RNA
MHS594	14226146	20571230	0.6915554393198656	SMT026	Ch	SMT026_Ch	326260	10324593	RNA
MHS598	15094138	18711126	0.8066931941990022	SMT005	Sc	SMT005_Sc	327994	9361254	RNA
